iter	Logloss
0	0.692024099
1	0.6909194471
2	0.6894336423
3	0.688058081
4	0.6870569143
5	0.6857349963
6	0.6844794989
7	0.6834104333
8	0.6821545136
9	0.6811377713
10	0.6803166479
11	0.6793820602
12	0.6784176942
13	0.6770402849
14	0.6761028989
15	0.6749545299
16	0.6737111234
17	0.6728317102
18	0.6716104791
19	0.6708334425
20	0.6692993798
21	0.6682612541
22	0.6672839524
23	0.6662955631
24	0.6651971414
25	0.6642169886
26	0.6632388422
27	0.6623919002
28	0.6615151798
29	0.6606119545
30	0.6596966912
31	0.6589266767
32	0.6580656903
33	0.6574491085
34	0.6565501599
35	0.6557716449
36	0.6549568572
37	0.6543320389
38	0.6535471352
39	0.6526745859
40	0.6517954896
41	0.6511145991
42	0.650583023
43	0.6495967456
44	0.6490399318
45	0.6483385027
46	0.647307716
47	0.6466181138
48	0.645860507
49	0.6451620346
50	0.6445348403
51	0.643810655
52	0.6432085928
53	0.6425476074
54	0.6419801283
55	0.6412791216
56	0.6405921593
57	0.6397827571
58	0.6392128492
59	0.6386581474
60	0.638090985
61	0.6373472115
62	0.6368601974
63	0.6362601943
64	0.6354631998
65	0.6345950856
66	0.6339683137
67	0.6335365269
68	0.6330491432
69	0.6323271227
70	0.6316875735
71	0.6311737377
72	0.6306133336
73	0.6300483888
74	0.6295603188
75	0.6290268948
76	0.6284800599
77	0.6279240381
78	0.6273804767
79	0.6268371793
80	0.626166743
81	0.6253998436
82	0.6249558604
83	0.6245262912
84	0.6238071745
85	0.6232975626
86	0.6227287108
87	0.6221532063
88	0.6214530971
89	0.6208772758
90	0.620275636
91	0.6197930042
92	0.6190367174
93	0.6187290601
94	0.6180866598
95	0.6173961072
96	0.616771764
97	0.6160985821
98	0.6157103014
99	0.6152644702
100	0.614735006
101	0.6143762925
102	0.613800788
103	0.6133207433
104	0.6129346801
105	0.6124022593
106	0.612047664
107	0.6114720011
108	0.6110344065
109	0.6105800747
110	0.6101796503
111	0.6096679265
112	0.6092697196
113	0.6087412059
114	0.6081516569
115	0.6076080956
116	0.6072080408
117	0.6065778369
118	0.6062396092
119	0.6058403992
120	0.6055663218
121	0.6051968901
122	0.604769908
123	0.604089176
124	0.603781149
125	0.6032172074
126	0.6027053252
127	0.6021980893
128	0.6018220578
129	0.6013156666
130	0.6009392656
131	0.6003819238
132	0.5998573171
133	0.5995542005
134	0.5991096893
135	0.5986341325
136	0.598288249
137	0.5978783736
138	0.5973824366
139	0.596926732
140	0.5965513342
141	0.596326993
142	0.5959908245
143	0.5954816878
144	0.5950625727
145	0.5946978929
146	0.5943610907
147	0.5938448262
148	0.5934388052
149	0.593038328
150	0.5925316728
151	0.5922082287
152	0.5918239607
153	0.5913696289
154	0.5909014111
155	0.5906131309
156	0.590297501
157	0.5897818173
158	0.5895191443
159	0.5891306524
160	0.5887395205
161	0.588336773
162	0.5879833393
163	0.587474097
164	0.5872211918
165	0.586871454
166	0.5864769959
167	0.586042358
168	0.58562715
169	0.5853465783
170	0.585047052
171	0.5847126258
172	0.5843749789
173	0.5840618833
174	0.5837270347
175	0.5834624083
176	0.5831509494
177	0.5827474099
178	0.5824813051
179	0.5819275008
180	0.5814959252
181	0.5810181509
182	0.5804761735
183	0.5800636054
184	0.579827015
185	0.5795423778
186	0.579215713
187	0.5789101149
188	0.5786365654
189	0.5783146525
190	0.577990786
191	0.5776772681
192	0.577345429
193	0.5770610031
194	0.5766881923
195	0.5761699215
196	0.5758242492
197	0.5755150079
198	0.5750112567
199	0.5746230815
200	0.5743271455
201	0.5739989495
202	0.5737376494
203	0.5734068135
204	0.5731539083
205	0.572806916
206	0.5723147805
207	0.571915148
208	0.5715672582
209	0.5712281329
210	0.5708066419
211	0.5704871049
212	0.5701555826
213	0.5697336692
214	0.5691695692
215	0.5687996623
216	0.5685972326
217	0.5682761644
218	0.5679867226
219	0.5677427932
220	0.5673334458
221	0.5667872445
222	0.5665885635
223	0.5662622155
224	0.5659966386
225	0.5656653804
226	0.5653424642
227	0.5649411951
228	0.5646276771
229	0.564349851
230	0.5639589303
231	0.5635779358
232	0.5632728656
233	0.5629122513
234	0.5625148892
235	0.5621865876
236	0.5618410209
237	0.5614896464
238	0.5612069628
239	0.5609342054
240	0.5606617647
241	0.5603107598
242	0.559937421
243	0.5595082742
244	0.5590678284
245	0.5587537297
246	0.5586205717
247	0.558393749
248	0.558072628
249	0.5576991309
250	0.5573050423
251	0.5569322843
252	0.5566693474
253	0.5563600534
254	0.5559405687
255	0.5556652241
256	0.555378739
257	0.5551717686
258	0.554917913
259	0.5545591995
260	0.5542476878
261	0.5540006433
262	0.5537756686
263	0.5535036503
264	0.5532129941
265	0.5528688002
266	0.5526104039
267	0.5523793046
268	0.5521195884
269	0.5518326809
270	0.5516492058
271	0.5515035345
272	0.5511694251
273	0.5509473015
274	0.5506702146
275	0.5504456622
276	0.5501661466
277	0.5497962397
278	0.549421581
279	0.5492252759
280	0.5490357818
281	0.5487372586
282	0.5483786507
283	0.5481690931
284	0.5479024603
285	0.5473628589
286	0.5470879367
287	0.5469602169
288	0.5466626969
289	0.5463615866
290	0.546020455
291	0.5456507066
292	0.5452064065
293	0.5449227198
294	0.5446108914
295	0.5443545015
296	0.5440850175
297	0.5439417222
298	0.5436868107
299	0.5433483718
300	0.5430172191
301	0.5427321068
302	0.5425193285
303	0.5422200662
304	0.5420376999
305	0.54163189
306	0.5413967779
307	0.5412152564
308	0.5409397006
309	0.5407805657
310	0.5405743345
311	0.540250732
312	0.5399837824
313	0.5396316687
314	0.5394024172
315	0.5392073793
316	0.5390884241
317	0.538685307
318	0.5383383675
319	0.5379742685
320	0.5377370973
321	0.5375629676
322	0.5373355641
323	0.5370594275
324	0.5369315494
325	0.5366658141
326	0.5365112727
327	0.5362214085
328	0.5358795377
329	0.5356030844
330	0.535341045
331	0.5351349722
332	0.535007622
333	0.5348538725
334	0.5345613684
335	0.5342626341
336	0.5340947874
337	0.5338982183
338	0.5335706559
339	0.5334060827
340	0.5330125221
341	0.5326883389
342	0.5324185381
343	0.5322614624
344	0.5320370156
345	0.5317116708
346	0.5311767156
347	0.5309881191
348	0.5308563338
349	0.5305231748
350	0.5302441871
351	0.53010501
352	0.5297244379
353	0.5294460838
354	0.5292038439
355	0.5290816152
356	0.5288375274
357	0.5285821934
358	0.5282287598
359	0.5279572695
360	0.5276657685
361	0.5274942259
362	0.5271824503
363	0.5269433256
364	0.5266186143
365	0.5263118546
366	0.526169668
367	0.5259532466
368	0.5256623265
369	0.5254858736
370	0.5252335492
371	0.5250424712
372	0.5247600516
373	0.5246138523
374	0.5243944742
375	0.5240748316
376	0.5238659077
377	0.5236940483
378	0.5234506468
379	0.5231304763
380	0.5228393977
381	0.5224561856
382	0.5222125202
383	0.5220307347
384	0.5217556013
385	0.5214752936
386	0.5213383341
387	0.5211406035
388	0.5209304123
389	0.5206201679
390	0.5201536396
391	0.5200141986
392	0.5197531096
393	0.5195285045
394	0.5192336772
395	0.5190810365
396	0.5187533685
397	0.5186023118
398	0.5183848345
399	0.5181089091
400	0.5179449695
401	0.5176164568
402	0.5174287578
403	0.5171597491
404	0.5168178255
405	0.5165636531
406	0.5163444334
407	0.5162397338
408	0.5159189297
409	0.5155566786
410	0.5153363502
411	0.5150320192
412	0.5148868759
413	0.5146591556
414	0.5143090482
415	0.514088403
416	0.513709626
417	0.5135479039
418	0.5132139001
419	0.5129763065
420	0.5127543941
421	0.5125141078
422	0.5122627865
423	0.5120071886
424	0.5118037029
425	0.5115327406
426	0.5113416626
427	0.5110919253
428	0.510916898
429	0.5106014265
430	0.5104058606
431	0.5101867465
432	0.5098175788
433	0.5096065957
434	0.5093339966
435	0.5091340484
436	0.5088436562
437	0.5087028424
438	0.5084401695
439	0.50802116
440	0.5077829856
441	0.5075341459
442	0.5071188851
443	0.5068956527
444	0.5067212062
445	0.5065192516
446	0.5062848259
447	0.506052829
448	0.5058383612
449	0.5056313907
450	0.5053818647
451	0.5051205117
452	0.5047546176
453	0.5044917334
454	0.5042558822
455	0.5040695032
456	0.5038874537
457	0.5036795329
458	0.503407673
459	0.5031448945
460	0.5029164351
461	0.5025654301
462	0.5022644254
463	0.5019791019
464	0.5016905049
465	0.5015294692
466	0.5012512207
467	0.5010929306
468	0.5009158441
469	0.5007171103
470	0.5005101927
471	0.5003251864
472	0.500095407
473	0.4998789857
474	0.4996468831
475	0.4994482021
476	0.4989983054
477	0.4987333621
478	0.4984058525
479	0.4981476147
480	0.4978887961
481	0.497617517
482	0.4974213174
483	0.4971537871
484	0.4968318741
485	0.4966130768
486	0.4962123884
487	0.4959688286
488	0.4956450149
489	0.4953986039
490	0.4949981795
491	0.4947260556
492	0.4945387263
493	0.494357152
494	0.4941313325
495	0.4937894089
496	0.4935219313
497	0.4934212972
498	0.4932333342
499	0.4929846001
500	0.4927339653
501	0.4925900364
502	0.4922965819
503	0.4920323778
504	0.491801648
505	0.4915623648
506	0.4912777805
507	0.4910458363
508	0.4908468385
509	0.4907296785
510	0.4904174277
511	0.4901035401
512	0.4899265593
513	0.4895904435
514	0.4893015825
515	0.4889823095
516	0.4888223298
517	0.4885865314
518	0.4884238062
519	0.4882162022
520	0.4878519976
521	0.4876089657
522	0.4874481412
523	0.4871972952
524	0.4870210535
525	0.4868262268
526	0.4864432787
527	0.4861913239
528	0.4859854622
529	0.4857662425
530	0.4854908979
531	0.4852239483
532	0.4848671883
533	0.4846864588
534	0.4844463837
535	0.4841251571
536	0.4838783238
537	0.48361903
538	0.4834639605
539	0.4832293765
540	0.4828084662
541	0.4826535024
542	0.4823800585
543	0.4821467944
544	0.4819054521
545	0.4817046591
546	0.4815228736
547	0.4813397681
548	0.4809190691
549	0.4807489521
550	0.4806305248
551	0.4804137867
552	0.4801597727
553	0.4799189584
554	0.4797969937
555	0.4795141517
556	0.479177508
557	0.4789765566
558	0.4787126165
559	0.4783957194
560	0.4782758139
561	0.4781065416
562	0.4778407008
563	0.4776000449
564	0.4774130851
565	0.4772759144
566	0.4770092816
567	0.4769061131
568	0.4766595438
569	0.476458434
570	0.4761391082
571	0.4758145025
572	0.4754331384
573	0.4753283332
574	0.4750032524
575	0.4746594281
576	0.474333872
577	0.4740973872
578	0.4739620116
579	0.473701873
580	0.4734326531
581	0.4729973816
582	0.4727720373
583	0.472454665
584	0.4722312214
585	0.4720441033
586	0.471705242
587	0.4714452618
588	0.4710180157
589	0.4708440972
590	0.4706772009
591	0.4704274108
592	0.4701735553
593	0.4699188549
594	0.4696548092
595	0.4694107214
596	0.4691820508
597	0.4688480998
598	0.4686884369
599	0.4684324166
600	0.4680482013
601	0.4677909666
602	0.4674973537
603	0.4673829392
604	0.4672346808
605	0.4669230636
606	0.4665864727
607	0.4661768613
608	0.4659155611
609	0.4657372075
610	0.4655613883
611	0.4652397393
612	0.4649326628
613	0.4646345092
614	0.4644106961
