AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AccMagnitude,GyroMagnitude,JerkX,JerkY,JerkZ,JerkMagnitude
-1.6248639,-1.0824918,-0.20418262,-0.02855795,0.05131268,0.13553573,1.9630745612178144,0.14771080442411041,-1.6248639,-1.0824918,-0.20418262,1.9630745612178144
-0.5946599,-0.122409865,0.2205019,-0.019394971,-0.029321533,0.08788824,0.6459300733213605,0.09465864951423368,1.030204,0.9600819349999998,0.42468452,1.4708618375146505
0.7384782,-0.22845554,0.66773224,0.069791354,-0.029932396,0.054901514,1.021473607083095,0.09370676423261198,1.3331381,-0.106045675,0.44723033999999995,1.4101481680569354
0.101741076,0.7775676,-0.066729546,0.030695979,-0.0036651916,0.054901514,0.7870295111523862,0.06300676944365063,-0.6367371239999999,1.00602314,-0.734461786,1.3989105898482435
0.15846956,0.34589112,0.3552742,0.021533,0.115453534,0.014584408,0.5205506944833405,0.11834649787298152,0.05672848400000001,-0.43167648000000003,0.422003746,0.6063413773775967
0.078171015,-0.34917977,0.27065182,0.03436117,-0.030543262,0.05062546,0.4486531255131246,0.06838507189132102,-0.08029854500000001,-0.69507089,-0.08462238,0.704792413162467
-0.66274977,-0.46277535,-0.09979725,0.00870483,-0.009773844,0.046960264,0.8144677853115112,0.0487500614031914,-0.740920785,-0.11359557999999997,-0.37044907,0.8361220478521169
0.46731782,-0.23463994,0.13413906,-0.048716504,-0.02076942,-0.030008756,0.5398473244820609,0.060870288366213214,1.13006759,0.22813540999999998,0.23393631,1.176360795164771
-0.17189527,-0.40889418,0.41465282,0.009315695,0.0580322,-0.019624045,0.6071897524005141,0.06196467987761294,-0.6392130899999999,-0.17425424,0.28051375999999995,0.7194761178348196
0.8526788,-0.41677797,0.4910078,-0.0010690142,0.042760566,-0.072158456,1.068575534020689,0.08388355958293671,1.02457407,-0.007883790000000002,0.07635498000000002,1.0274455031932006
0.30885077,0.23902233,1.5170336,-0.029168816,0.15943582,-0.07276932,1.5664965419359156,0.1776681582590889,-0.54382803,0.6558003,1.0260258,1.3336235983062878
-0.40297937,-0.040392295,-1.0480223,-0.01695151,0.004276057,-0.04589125,1.1235544719497377,0.04910850416485773,-0.71183014,-0.279414625,-2.5650559,2.676618473186106
-0.6046126,0.84023064,-0.8447466,0.02031127,0.005497787,-0.07826711,1.3360915921766476,0.0810463685717156,-0.20163322999999994,0.880622935,0.20327569999999995,0.9259987706788476
0.16359544,0.47510707,0.006772995,0.0050396384,-0.013439035,-0.06116288,0.5025296701828147,0.06282438624314908,0.76820804,-0.36512357,0.851519595,1.2035549155560583
-0.25059032,1.7221956,0.529089,-0.0022907446,0.029932396,-0.0055741454,1.8189800337161655,0.03053304665544509,-0.41418575999999996,1.24708853,0.5223160050000001,1.4140698902541906
0.7984953,0.1821081,0.20606041,-0.011453724,0.017715093,-0.08559749,0.8445229403497979,0.08815862185723485,1.04908562,-1.5400875,-0.32302859000000006,1.8912423471634785
-0.29116774,1.694341,1.4759464,0.007483099,0.087964594,-0.08987355,2.2658304995675795,0.12598024272810057,-1.08966304,1.5122329,1.26988599,2.25539892528633
1.1801066,1.6199347,1.0541077,-0.023060163,0.032375857,-0.013515393,2.264505037050468,0.041983724013187146,1.47127434,-0.07440630000000015,-0.4218386999999999,1.5323616968065388
